
2024/12/23 (14:06:32) | ===> btop++ v.1.4.0
2024/12/23 (14:06:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (14:25:49) | ===> btop++ v.1.4.0
2024/12/23 (14:25:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (14:54:15) | ===> btop++ v.1.4.0
2024/12/23 (14:54:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (15:43:56) | ===> btop++ v.1.4.0
2024/12/23 (15:43:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (17:55:45) | ===> btop++ v.1.4.0
2024/12/23 (17:55:45) | WARNING: Intel GPU: Failed to initialize PMU
